map,strat0,strat1,score0,score1
yellow-map,strategy_aleatoire_expert,epsilon_regret,20,21
yellow-map,strategy_aleatoire_expert,hybrid_greedy_regret,29,12
yellow-map,strategy_aleatoire_expert,strategy_stationary,18,17
yellow-map,strategy_aleatoire_expert,strategy_aleatoire_expert,20,18
red-map,random,random,17,18
red-map,random,coordination,23,9
red-map,random,fictitious,21,12
red-map,random,regret,20,17
red-map,random,hybrid_regret,22,12
red-map,random,hybrid_fictitious,21,12
red-map,random,greedy,24,12
red-map,random,epsilon_regret,16,17
red-map,random,hybrid_greedy_regret,19,12
red-map,random,strategy_stationary,16,15
red-map,random,strategy_aleatoire_expert,14,15
red-map,coordination,random,10,26
red-map,coordination,coordination,14,13
red-map,coordination,fictitious,10,12
red-map,coordination,regret,10,19
red-map,coordination,hybrid_regret,12,16
red-map,coordination,hybrid_fictitious,10,10
red-map,coordination,greedy,11,11
red-map,coordination,epsilon_regret,9,19
red-map,coordination,hybrid_greedy_regret,10,16
red-map,coordination,strategy_stationary,10,22
red-map,coordination,strategy_aleatoire_expert,10,22
red-map,fictitious,random,12,20
red-map,fictitious,coordination,12,13
red-map,fictitious,fictitious,10,11
red-map,fictitious,regret,10,18
red-map,fictitious,hybrid_regret,12,18
red-map,fictitious,hybrid_fictitious,11,10
red-map,fictitious,greedy,15,16
red-map,fictitious,epsilon_regret,14,17
red-map,fictitious,hybrid_greedy_regret,11,18
red-map,fictitious,strategy_stationary,10,16
red-map,fictitious,strategy_aleatoire_expert,9,20
red-map,regret,random,17,19
red-map,regret,coordination,22,12
red-map,regret,fictitious,13,8
red-map,regret,regret,20,23
red-map,regret,hybrid_regret,23,15
red-map,regret,hybrid_fictitious,18,10
red-map,regret,greedy,20,11
red-map,regret,epsilon_regret,19,19
red-map,regret,hybrid_greedy_regret,20,17
red-map,regret,strategy_stationary,18,17
red-map,regret,strategy_aleatoire_expert,16,14
red-map,hybrid_regret,random,10,21
red-map,hybrid_regret,coordination,10,11
red-map,hybrid_regret,fictitious,10,15
red-map,hybrid_regret,regret,10,19
red-map,hybrid_regret,hybrid_regret,10,10
red-map,hybrid_regret,hybrid_fictitious,19,12
red-map,hybrid_regret,greedy,10,12
red-map,hybrid_regret,epsilon_regret,11,18
red-map,hybrid_regret,hybrid_greedy_regret,10,14
red-map,hybrid_regret,strategy_stationary,15,18
red-map,hybrid_regret,strategy_aleatoire_expert,10,26
red-map,hybrid_fictitious,random,10,22
red-map,hybrid_fictitious,coordination,10,12
red-map,hybrid_fictitious,fictitious,17,19
red-map,hybrid_fictitious,regret,10,22
red-map,hybrid_fictitious,hybrid_regret,13,20
red-map,hybrid_fictitious,hybrid_fictitious,10,11
red-map,hybrid_fictitious,greedy,13,16
red-map,hybrid_fictitious,epsilon_regret,11,21
red-map,hybrid_fictitious,hybrid_greedy_regret,13,16
red-map,hybrid_fictitious,strategy_stationary,10,18
red-map,hybrid_fictitious,strategy_aleatoire_expert,10,22
red-map,greedy,random,11,23
red-map,greedy,coordination,12,10
red-map,greedy,fictitious,14,15
red-map,greedy,regret,11,24
red-map,greedy,hybrid_regret,18,10
red-map,greedy,hybrid_fictitious,14,13
red-map,greedy,greedy,12,10
red-map,greedy,epsilon_regret,10,27
red-map,greedy,hybrid_greedy_regret,10,14
red-map,greedy,strategy_stationary,12,24
red-map,greedy,strategy_aleatoire_expert,10,22
red-map,epsilon_regret,random,17,15
red-map,epsilon_regret,coordination,24,10
red-map,epsilon_regret,fictitious,19,11
red-map,epsilon_regret,regret,19,17
red-map,epsilon_regret,hybrid_regret,24,15
red-map,epsilon_regret,hybrid_fictitious,18,10
red-map,epsilon_regret,greedy,24,11
red-map,epsilon_regret,epsilon_regret,17,18
red-map,epsilon_regret,hybrid_greedy_regret,14,15
red-map,epsilon_regret,strategy_stationary,18,21
red-map,epsilon_regret,strategy_aleatoire_expert,17,16
red-map,hybrid_greedy_regret,random,15,19
red-map,hybrid_greedy_regret,coordination,16,11
red-map,hybrid_greedy_regret,fictitious,20,11
red-map,hybrid_greedy_regret,regret,11,25
red-map,hybrid_greedy_regret,hybrid_regret,18,10
red-map,hybrid_greedy_regret,hybrid_fictitious,22,11
red-map,hybrid_greedy_regret,greedy,16,11
red-map,hybrid_greedy_regret,epsilon_regret,11,21
red-map,hybrid_greedy_regret,hybrid_greedy_regret,18,15
red-map,hybrid_greedy_regret,strategy_stationary,15,17
red-map,hybrid_greedy_regret,strategy_aleatoire_expert,12,17
red-map,strategy_stationary,random,14,13
red-map,strategy_stationary,coordination,23,10
red-map,strategy_stationary,fictitious,25,12
red-map,strategy_stationary,regret,12,13
red-map,strategy_stationary,hybrid_regret,21,10
red-map,strategy_stationary,hybrid_fictitious,22,10
red-map,strategy_stationary,greedy,23,10
red-map,strategy_stationary,epsilon_regret,16,18
red-map,strategy_stationary,hybrid_greedy_regret,20,14
red-map,strategy_stationary,strategy_stationary,15,15
red-map,strategy_stationary,strategy_aleatoire_expert,16,18
red-map,strategy_aleatoire_expert,random,17,17
red-map,strategy_aleatoire_expert,coordination,22,11
red-map,strategy_aleatoire_expert,fictitious,22,10
red-map,strategy_aleatoire_expert,regret,15,17
red-map,strategy_aleatoire_expert,hybrid_regret,23,10
red-map,strategy_aleatoire_expert,hybrid_fictitious,22,9
red-map,strategy_aleatoire_expert,greedy,22,12
red-map,strategy_aleatoire_expert,epsilon_regret,13,14
red-map,strategy_aleatoire_expert,hybrid_greedy_regret,19,12
red-map,strategy_aleatoire_expert,strategy_stationary,14,12
red-map,strategy_aleatoire_expert,strategy_aleatoire_expert,14,14
green-map,random,random,30,32
green-map,random,coordination,33,17
green-map,random,fictitious,36,18
green-map,random,regret,24,34
green-map,random,hybrid_regret,26,21
green-map,random,hybrid_fictitious,33,22
green-map,random,greedy,33,20
green-map,random,epsilon_regret,24,30
green-map,random,hybrid_greedy_regret,34,23
green-map,random,strategy_stationary,29,29
green-map,random,strategy_aleatoire_expert,29,24
green-map,coordination,random,21,29
green-map,coordination,coordination,24,24
green-map,coordination,fictitious,29,26
green-map,coordination,regret,19,26
green-map,coordination,hybrid_regret,28,25
green-map,coordination,hybrid_fictitious,29,26
green-map,coordination,greedy,23,24
green-map,coordination,epsilon_regret,20,34
green-map,coordination,hybrid_greedy_regret,22,28
green-map,coordination,strategy_stationary,17,28
green-map,coordination,strategy_aleatoire_expert,25,30
green-map,fictitious,random,22,28
green-map,fictitious,coordination,21,26
green-map,fictitious,fictitious,28,21
green-map,fictitious,regret,18,27
green-map,fictitious,hybrid_regret,26,24
green-map,fictitious,hybrid_fictitious,27,28
green-map,fictitious,greedy,30,29
green-map,fictitious,epsilon_regret,24,25
green-map,fictitious,hybrid_greedy_regret,31,23
green-map,fictitious,strategy_stationary,22,32
green-map,fictitious,strategy_aleatoire_expert,22,24
green-map,regret,random,28,22
green-map,regret,coordination,33,22
green-map,regret,fictitious,31,19
green-map,regret,regret,28,31
green-map,regret,hybrid_regret,28,30
green-map,regret,hybrid_fictitious,29,19
green-map,regret,greedy,32,21
green-map,regret,epsilon_regret,29,28
green-map,regret,hybrid_greedy_regret,31,22
green-map,regret,strategy_stationary,26,25
green-map,regret,strategy_aleatoire_expert,24,21
green-map,hybrid_regret,random,22,31
green-map,hybrid_regret,coordination,28,23
green-map,hybrid_regret,fictitious,32,25
green-map,hybrid_regret,regret,20,31
green-map,hybrid_regret,hybrid_regret,24,25
green-map,hybrid_regret,hybrid_fictitious,24,26
green-map,hybrid_regret,greedy,29,22
green-map,hybrid_regret,epsilon_regret,20,31
green-map,hybrid_regret,hybrid_greedy_regret,24,28
green-map,hybrid_regret,strategy_stationary,21,33
green-map,hybrid_regret,strategy_aleatoire_expert,21,31
green-map,hybrid_fictitious,random,18,32
green-map,hybrid_fictitious,coordination,26,28
green-map,hybrid_fictitious,fictitious,31,26
green-map,hybrid_fictitious,regret,27,31
green-map,hybrid_fictitious,hybrid_regret,28,25
green-map,hybrid_fictitious,hybrid_fictitious,25,28
green-map,hybrid_fictitious,greedy,25,30
green-map,hybrid_fictitious,epsilon_regret,25,27
green-map,hybrid_fictitious,hybrid_greedy_regret,27,27
green-map,hybrid_fictitious,strategy_stationary,26,31
green-map,hybrid_fictitious,strategy_aleatoire_expert,26,34
green-map,greedy,random,22,37
green-map,greedy,coordination,20,25
green-map,greedy,fictitious,29,26
green-map,greedy,regret,16,36
green-map,greedy,hybrid_regret,22,27
green-map,greedy,hybrid_fictitious,27,28
green-map,greedy,greedy,30,31
green-map,greedy,epsilon_regret,16,30
green-map,greedy,hybrid_greedy_regret,24,24
green-map,greedy,strategy_stationary,25,37
green-map,greedy,strategy_aleatoire_expert,23,27
green-map,epsilon_regret,random,29,27
green-map,epsilon_regret,coordination,34,20
green-map,epsilon_regret,fictitious,33,23
green-map,epsilon_regret,regret,29,26
green-map,epsilon_regret,hybrid_regret,30,25
green-map,epsilon_regret,hybrid_fictitious,28,20
green-map,epsilon_regret,greedy,34,18
green-map,epsilon_regret,epsilon_regret,29,32
green-map,epsilon_regret,hybrid_greedy_regret,36,22
green-map,epsilon_regret,strategy_stationary,29,28
green-map,epsilon_regret,strategy_aleatoire_expert,26,22
green-map,hybrid_greedy_regret,random,20,33
green-map,hybrid_greedy_regret,coordination,31,26
green-map,hybrid_greedy_regret,fictitious,29,27
green-map,hybrid_greedy_regret,regret,23,34
green-map,hybrid_greedy_regret,hybrid_regret,27,24
green-map,hybrid_greedy_regret,hybrid_fictitious,30,27
green-map,hybrid_greedy_regret,greedy,25,22
green-map,hybrid_greedy_regret,epsilon_regret,22,37
green-map,hybrid_greedy_regret,hybrid_greedy_regret,25,24
green-map,hybrid_greedy_regret,strategy_stationary,23,29
green-map,hybrid_greedy_regret,strategy_aleatoire_expert,25,28
green-map,strategy_stationary,random,25,27
green-map,strategy_stationary,coordination,33,22
green-map,strategy_stationary,fictitious,30,23
green-map,strategy_stationary,regret,22,27
green-map,strategy_stationary,hybrid_regret,32,22
green-map,strategy_stationary,hybrid_fictitious,31,18
green-map,strategy_stationary,greedy,40,22
green-map,strategy_stationary,epsilon_regret,25,30
green-map,strategy_stationary,hybrid_greedy_regret,30,30
green-map,strategy_stationary,strategy_stationary,25,27
green-map,strategy_stationary,strategy_aleatoire_expert,26,30
green-map,strategy_aleatoire_expert,random,22,25
green-map,strategy_aleatoire_expert,coordination,31,24
green-map,strategy_aleatoire_expert,fictitious,32,25
green-map,strategy_aleatoire_expert,regret,19,30
green-map,strategy_aleatoire_expert,hybrid_regret,31,22
green-map,strategy_aleatoire_expert,hybrid_fictitious,31,22
green-map,strategy_aleatoire_expert,greedy,27,23
green-map,strategy_aleatoire_expert,epsilon_regret,24,25
green-map,strategy_aleatoire_expert,hybrid_greedy_regret,29,24
green-map,strategy_aleatoire_expert,strategy_stationary,27,26
green-map,strategy_aleatoire_expert,strategy_aleatoire_expert,25,26
blue-map,random,random,27,28
blue-map,random,coordination,33,28
blue-map,random,fictitious,26,32
blue-map,random,regret,37,23
blue-map,random,hybrid_regret,24,34
blue-map,random,hybrid_fictitious,33,27
blue-map,random,greedy,28,34
blue-map,random,epsilon_regret,35,21
blue-map,random,hybrid_greedy_regret,26,30
blue-map,random,strategy_stationary,30,34
blue-map,random,strategy_aleatoire_expert,31,32
blue-map,coordination,random,29,28
blue-map,coordination,coordination,28,32
blue-map,coordination,fictitious,32,21
blue-map,coordination,regret,32,24
blue-map,coordination,hybrid_regret,36,21
blue-map,coordination,hybrid_fictitious,27,28
blue-map,coordination,greedy,38,22
blue-map,coordination,epsilon_regret,31,27
blue-map,coordination,hybrid_greedy_regret,27,32
blue-map,coordination,strategy_stationary,28,34
blue-map,coordination,strategy_aleatoire_expert,32,26
blue-map,fictitious,random,28,28
blue-map,fictitious,coordination,29,25
blue-map,fictitious,fictitious,31,25
blue-map,fictitious,regret,32,31
blue-map,fictitious,hybrid_regret,24,33
blue-map,fictitious,hybrid_fictitious,34,30
blue-map,fictitious,greedy,24,36
blue-map,fictitious,epsilon_regret,38,20
blue-map,fictitious,hybrid_greedy_regret,32,29
blue-map,fictitious,strategy_stationary,34,32
blue-map,fictitious,strategy_aleatoire_expert,34,26
blue-map,regret,random,28,36
blue-map,regret,coordination,31,24
blue-map,regret,fictitious,27,36
blue-map,regret,regret,40,21
blue-map,regret,hybrid_regret,24,33
blue-map,regret,hybrid_fictitious,24,38
blue-map,regret,greedy,27,30
blue-map,regret,epsilon_regret,25,26
blue-map,regret,hybrid_greedy_regret,27,30
blue-map,regret,strategy_stationary,21,35
blue-map,regret,strategy_aleatoire_expert,26,30
blue-map,hybrid_regret,random,31,34
blue-map,hybrid_regret,coordination,33,22
blue-map,hybrid_regret,fictitious,28,32
blue-map,hybrid_regret,regret,30,29
blue-map,hybrid_regret,hybrid_regret,28,31
blue-map,hybrid_regret,hybrid_fictitious,29,33
blue-map,hybrid_regret,greedy,28,36
blue-map,hybrid_regret,epsilon_regret,32,30
blue-map,hybrid_regret,hybrid_greedy_regret,33,26
blue-map,hybrid_regret,strategy_stationary,31,31
blue-map,hybrid_regret,strategy_aleatoire_expert,24,30
blue-map,hybrid_fictitious,random,32,29
blue-map,hybrid_fictitious,coordination,31,25
blue-map,hybrid_fictitious,fictitious,36,24
blue-map,hybrid_fictitious,regret,37,18
blue-map,hybrid_fictitious,hybrid_regret,29,34
blue-map,hybrid_fictitious,hybrid_fictitious,26,29
blue-map,hybrid_fictitious,greedy,24,32
blue-map,hybrid_fictitious,epsilon_regret,38,22
blue-map,hybrid_fictitious,hybrid_greedy_regret,28,34
blue-map,hybrid_fictitious,strategy_stationary,41,22
blue-map,hybrid_fictitious,strategy_aleatoire_expert,29,21
blue-map,greedy,random,33,30
blue-map,greedy,coordination,34,28
blue-map,greedy,fictitious,31,25
blue-map,greedy,regret,28,28
blue-map,greedy,hybrid_regret,29,33
blue-map,greedy,hybrid_fictitious,32,31
blue-map,greedy,greedy,30,31
blue-map,greedy,epsilon_regret,36,23
blue-map,greedy,hybrid_greedy_regret,28,26
blue-map,greedy,strategy_stationary,36,26
blue-map,greedy,strategy_aleatoire_expert,28,26
blue-map,epsilon_regret,random,24,37
blue-map,epsilon_regret,coordination,27,36
blue-map,epsilon_regret,fictitious,37,29
blue-map,epsilon_regret,regret,32,25
blue-map,epsilon_regret,hybrid_regret,28,30
blue-map,epsilon_regret,hybrid_fictitious,26,35
blue-map,epsilon_regret,greedy,31,24
blue-map,epsilon_regret,epsilon_regret,21,39
blue-map,epsilon_regret,hybrid_greedy_regret,27,32
blue-map,epsilon_regret,strategy_stationary,25,32
blue-map,epsilon_regret,strategy_aleatoire_expert,28,30
blue-map,hybrid_greedy_regret,random,31,29
blue-map,hybrid_greedy_regret,coordination,29,27
blue-map,hybrid_greedy_regret,fictitious,36,24
blue-map,hybrid_greedy_regret,regret,31,27
blue-map,hybrid_greedy_regret,hybrid_regret,29,31
blue-map,hybrid_greedy_regret,hybrid_fictitious,32,24
blue-map,hybrid_greedy_regret,greedy,28,33
blue-map,hybrid_greedy_regret,epsilon_regret,29,25
blue-map,hybrid_greedy_regret,hybrid_greedy_regret,32,32
blue-map,hybrid_greedy_regret,strategy_stationary,30,26
blue-map,hybrid_greedy_regret,strategy_aleatoire_expert,28,32
blue-map,strategy_stationary,random,27,30
blue-map,strategy_stationary,coordination,29,35
blue-map,strategy_stationary,fictitious,32,26
blue-map,strategy_stationary,regret,35,29
blue-map,strategy_stationary,hybrid_regret,37,25
blue-map,strategy_stationary,hybrid_fictitious,31,27
blue-map,strategy_stationary,greedy,27,31
blue-map,strategy_stationary,epsilon_regret,34,24
blue-map,strategy_stationary,hybrid_greedy_regret,34,22
blue-map,strategy_stationary,strategy_stationary,31,27
blue-map,strategy_stationary,strategy_aleatoire_expert,24,38
blue-map,strategy_aleatoire_expert,random,27,32
blue-map,strategy_aleatoire_expert,coordination,26,28
blue-map,strategy_aleatoire_expert,fictitious,30,30
blue-map,strategy_aleatoire_expert,regret,34,27
blue-map,strategy_aleatoire_expert,hybrid_regret,28,33
blue-map,strategy_aleatoire_expert,hybrid_fictitious,23,37
blue-map,strategy_aleatoire_expert,greedy,28,33
blue-map,strategy_aleatoire_expert,epsilon_regret,32,23
blue-map,strategy_aleatoire_expert,hybrid_greedy_regret,22,39
blue-map,strategy_aleatoire_expert,strategy_stationary,28,32
blue-map,strategy_aleatoire_expert,strategy_aleatoire_expert,28,29
mixed-map,random,random,35,31
mixed-map,random,coordination,40,27
mixed-map,random,fictitious,36,30
mixed-map,random,regret,26,35
mixed-map,random,hybrid_regret,44,22
mixed-map,random,hybrid_fictitious,42,24
mixed-map,random,greedy,34,28
mixed-map,random,epsilon_regret,36,34
mixed-map,random,hybrid_greedy_regret,41,23
mixed-map,random,strategy_stationary,34,32
mixed-map,random,strategy_aleatoire_expert,34,30
mixed-map,coordination,random,29,39
mixed-map,coordination,coordination,31,31
mixed-map,coordination,fictitious,33,30
mixed-map,coordination,regret,31,39
mixed-map,coordination,hybrid_regret,35,31
mixed-map,coordination,hybrid_fictitious,33,37
mixed-map,coordination,greedy,28,31
mixed-map,coordination,epsilon_regret,24,36
mixed-map,coordination,hybrid_greedy_regret,30,36
mixed-map,coordination,strategy_stationary,23,41
mixed-map,coordination,strategy_aleatoire_expert,23,41
mixed-map,fictitious,random,30,38
mixed-map,fictitious,coordination,35,28
mixed-map,fictitious,fictitious,35,26
mixed-map,fictitious,regret,29,30
mixed-map,fictitious,hybrid_regret,32,33
mixed-map,fictitious,hybrid_fictitious,33,28
mixed-map,fictitious,greedy,31,33
mixed-map,fictitious,epsilon_regret,28,37
mixed-map,fictitious,hybrid_greedy_regret,36,31
mixed-map,fictitious,strategy_stationary,27,40
mixed-map,fictitious,strategy_aleatoire_expert,29,32
mixed-map,regret,random,28,29
mixed-map,regret,coordination,35,25
mixed-map,regret,fictitious,35,29
mixed-map,regret,regret,32,38
mixed-map,regret,hybrid_regret,42,33
mixed-map,regret,hybrid_fictitious,35,29
mixed-map,regret,greedy,41,22
mixed-map,regret,epsilon_regret,35,42
mixed-map,regret,hybrid_greedy_regret,37,37
mixed-map,regret,strategy_stationary,31,41
mixed-map,regret,strategy_aleatoire_expert,33,41
mixed-map,hybrid_regret,random,28,39
mixed-map,hybrid_regret,coordination,28,27
mixed-map,hybrid_regret,fictitious,40,28
mixed-map,hybrid_regret,regret,36,35
mixed-map,hybrid_regret,hybrid_regret,35,35
mixed-map,hybrid_regret,hybrid_fictitious,36,30
mixed-map,hybrid_regret,greedy,27,32
mixed-map,hybrid_regret,epsilon_regret,22,46
mixed-map,hybrid_regret,hybrid_greedy_regret,33,26
mixed-map,hybrid_regret,strategy_stationary,28,30
mixed-map,hybrid_regret,strategy_aleatoire_expert,27,40
mixed-map,hybrid_fictitious,random,27,42
mixed-map,hybrid_fictitious,coordination,33,31
mixed-map,hybrid_fictitious,fictitious,31,31
mixed-map,hybrid_fictitious,regret,33,35
mixed-map,hybrid_fictitious,hybrid_regret,34,33
mixed-map,hybrid_fictitious,hybrid_fictitious,35,32
mixed-map,hybrid_fictitious,greedy,34,30
mixed-map,hybrid_fictitious,epsilon_regret,31,33
mixed-map,hybrid_fictitious,hybrid_greedy_regret,30,29
mixed-map,hybrid_fictitious,strategy_stationary,25,41
mixed-map,hybrid_fictitious,strategy_aleatoire_expert,26,42
mixed-map,greedy,random,33,40
mixed-map,greedy,coordination,31,28
mixed-map,greedy,fictitious,32,30
mixed-map,greedy,regret,18,39
mixed-map,greedy,hybrid_regret,33,35
mixed-map,greedy,hybrid_fictitious,28,30
mixed-map,greedy,greedy,26,30
mixed-map,greedy,epsilon_regret,25,41
mixed-map,greedy,hybrid_greedy_regret,27,31
mixed-map,greedy,strategy_stationary,23,32
mixed-map,greedy,strategy_aleatoire_expert,29,37
mixed-map,epsilon_regret,random,34,35
mixed-map,epsilon_regret,coordination,32,26
mixed-map,epsilon_regret,fictitious,40,20
mixed-map,epsilon_regret,regret,29,37
mixed-map,epsilon_regret,hybrid_regret,41,33
mixed-map,epsilon_regret,hybrid_fictitious,39,22
mixed-map,epsilon_regret,greedy,41,27
mixed-map,epsilon_regret,epsilon_regret,35,31
mixed-map,epsilon_regret,hybrid_greedy_regret,38,32
mixed-map,epsilon_regret,strategy_stationary,35,35
mixed-map,epsilon_regret,strategy_aleatoire_expert,33,27
mixed-map,hybrid_greedy_regret,random,28,40
mixed-map,hybrid_greedy_regret,coordination,33,29
mixed-map,hybrid_greedy_regret,fictitious,37,36
mixed-map,hybrid_greedy_regret,regret,25,37
mixed-map,hybrid_greedy_regret,hybrid_regret,27,27
mixed-map,hybrid_greedy_regret,hybrid_fictitious,38,30
mixed-map,hybrid_greedy_regret,greedy,33,29
mixed-map,hybrid_greedy_regret,epsilon_regret,33,41
mixed-map,hybrid_greedy_regret,hybrid_greedy_regret,35,24
mixed-map,hybrid_greedy_regret,strategy_stationary,32,34
mixed-map,hybrid_greedy_regret,strategy_aleatoire_expert,29,37
mixed-map,strategy_stationary,random,29,29
mixed-map,strategy_stationary,coordination,34,26
mixed-map,strategy_stationary,fictitious,40,27
mixed-map,strategy_stationary,regret,31,31
mixed-map,strategy_stationary,hybrid_regret,34,27
mixed-map,strategy_stationary,hybrid_fictitious,38,25
mixed-map,strategy_stationary,greedy,32,26
mixed-map,strategy_stationary,epsilon_regret,26,34
mixed-map,strategy_stationary,hybrid_greedy_regret,34,31
mixed-map,strategy_stationary,strategy_stationary,32,26
mixed-map,strategy_stationary,strategy_aleatoire_expert,36,32
mixed-map,strategy_aleatoire_expert,random,29,38
mixed-map,strategy_aleatoire_expert,coordination,35,27
mixed-map,strategy_aleatoire_expert,fictitious,42,23
mixed-map,strategy_aleatoire_expert,regret,37,29
mixed-map,strategy_aleatoire_expert,hybrid_regret,40,28
mixed-map,strategy_aleatoire_expert,hybrid_fictitious,37,23
mixed-map,strategy_aleatoire_expert,greedy,43,24
mixed-map,strategy_aleatoire_expert,epsilon_regret,34,30
mixed-map,strategy_aleatoire_expert,hybrid_greedy_regret,35,29
mixed-map,strategy_aleatoire_expert,strategy_stationary,31,31
mixed-map,strategy_aleatoire_expert,strategy_aleatoire_expert,34,30
